caseid,liveurban,vote16,protest,vote,most_important_issue,confecon,ideology,partyID,universal_income,family_separation,free_college,forgive_loans,race,birthyr,sex,education,weight,fttrump,ftobama,ftbiden,ftwarren,ftsanders,ftbuttigieg,ftharris,ftblack,ftwhite,fthisp,ftasian,ftmuslim,ftillegal,ftjournal,ftnato,ftun,ftice,ftnra,ftchina,ftnkorea,ftmexico,ftsaudi,ftukraine,ftiran,ftbritain,ftgermany,ftjapan,ftisrael,ftfrance,ftcanada,ftturkey,ftrussia,ftpales,ftimmig,partisanship,ftbiden_level,age,age2,ftbiden_float,ftbiden_cat,ftbiden_str,prefersbiden,worried_econ,favor_both
412,Suburb,Donald Trump,False,Donald Trump,"Ignorance and or apathy in the voting public and a lack of patriotism and replaced by ""fairness"" doctrine.",A little worried,Conservative,Republican,Oppose a great deal,Oppose somewhat,Oppose a great deal,Oppose a great deal,White,1930,Male,Post-graduate,.817754440786381,91.0,55.0,38.0,17.0,6.0,15.0,6.0,86.0,91.0,31.0,91.0,30.0,12.0,18,93.0,41.0,90.0,75.0,30,10.0,22.0,50.0,49.0,9.0,86,69,90,88.0,42.0,87,16.0,41.0,14.0,93.0,-53.0,dislike,90,8100,38.0,38.0,38.0,False,False,False
413,Suburb,Donald Trump,False,Donald Trump,Illegal immigrants,Not at all worried,Conservative,Republican,Oppose a great deal,Oppose somewhat,Oppose a great deal,Oppose a great deal,White,1970,Male,High school graduate,.792508744423736,100.0,100.0,59.0,58.0,14.0,7.0,6.0,72.0,78.0,78.0,71.0,4.0,6.0,6,9.0,8.0,88.0,11.0,6,5.0,5.0,7.0,4.0,6.0,69,61,34,54.0,4.0,72,8.0,6.0,8.0,76.0,-41.0,neutral,50,2500,59.0,59.0,59.0,False,False,False
414,Town,Hillary Clinton,False,Joe Biden,President Trump,A little worried,Liberal,Democrat,Favor a little,Oppose strongly,Oppose a moderate amount,Oppose a moderate amount,White,1954,Female,4-year degree,1.0029772835284,0.0,94.0,53.0,63.0,50.0,65.0,54.0,49.0,50.0,50.0,51.0,50.0,40.0,95,84.0,73.0,41.0,11.0,34,6.0,64.0,20.0,65.0,6.0,82,80,68,53.0,72.0,90,39.0,8.0,49.0,60.0,53.0,neutral,66,4356,53.0,53.0,53.0,True,False,False
415,Suburb,Donald Trump,False,Donald Trump,Morals and budget deficits,A little worried,Conservative,Republican,Oppose a great deal,Oppose somewhat,Oppose a great deal,Oppose a great deal,Black,1988,Male,Post-graduate,1.83832425093982,89.0,19.0,20.0,20.0,13.0,14.0,19.0,80.0,52.0,80.0,74.0,52.0,42.0,47,59.0,34.0,85.0,88.0,64,53.0,50.0,72.0,57.0,14.0,66,50,71,95.0,62.0,55,54.0,54.0,18.0,67.0,-69.0,dislike,32,1024,20.0,20.0,20.0,False,False,False
416,Town,Donald Trump,False,Donald Trump,The economy still has a long way to go. Trump has been such a boost for our economy.,A little worried,Moderate,Republican,Oppose a little,Oppose strongly,Oppose a great deal,Oppose a moderate amount,White,1968,Male,2-year degree,.906159216192872,97.0,1.0,0.0,1.0,1.0,6.0,6.0,59.0,60.0,59.0,53.0,9.0,8.0,68,58.0,46.0,52.0,92.0,36,5.0,44.0,12.0,23.0,21.0,40,39,6,31.0,34.0,56,12.0,29.0,6.0,92.0,-97.0,dislike,52,2704,0.0,0.0,0.0,False,False,False
417,City,Someone else,False,Someone else,disrespect,Not at all worried,Moderate,Republican,Oppose a moderate amount,Oppose strongly,Oppose a great deal,Oppose a great deal,White,1958,Female,Post-graduate,.979980260428487,2.0,1.0,9.0,0.0,0.0,40.0,4.0,48.0,50.0,50.0,49.0,50.0,41.0,36,69.0,75.0,10.0,16.0,41,12.0,36.0,39.0,41.0,37.0,40,58,38,12.0,62.0,68,53.0,53.0,31.0,51.0,7.0,dislike,62,3844,9.0,9.0,9.0,True,False,False
418,Town,Hillary Clinton,False,Donald Trump,economic,Very worried,Moderate,Republican,Favor a moderate amount,Favor somewhat,Favor a little,Favor a great deal,White,1987,Male,4-year degree,1.10828913205724,39.0,58.0,43.0,47.0,43.0,33.0,33.0,52.0,48.0,53.0,45.0,48.0,49.0,45,75.0,76.0,55.0,51.0,27,39.0,69.0,96.0,55.0,4.0,98,61,86,51.0,75.0,98,68.0,13.0,65.0,42.0,4.0,neutral,33,1089,43.0,43.0,43.0,True,False,True
419,Suburb,Hillary Clinton,False,Joe Biden,Voted for a person who just wanted another notch in his belt but not knowing how to run the Great Country the United States of America I’m embarrassed to be an American right now.,Very worried,,Democrat,Favor a great deal,Neither favor nor disagree,Neither favor nor oppose,Neither favor nor oppose,White,1961,Female,Some college,.91774449889729,4.0,100.0,72.0,90.0,91.0,8.0,36.0,89.0,99.0,73.0,74.0,91.0,81.0,96,73.0,71.0,82.0,4.0,44,42.0,32.0,78.0,81.0,55.0,91,80,75,81.0,83.0,95,78.0,63.0,87.0,90.0,68.0,like,59,3481,72.0,72.0,72.0,True,False,False
420,City,Hillary Clinton,False,Joe Biden,Climate,Moderately worried,Moderate,Democrat,Favor a little,Oppose strongly,Favor a moderate amount,Favor a little,White,1960,Female,4-year degree,1.0029772835284,0.0,75.0,59.0,65.0,60.0,74.0,66.0,75.0,51.0,64.0,73.0,51.0,48.0,65,75.0,75.0,39.0,37.0,50,44.0,69.0,50.0,69.0,50.0,84,91,79,87.0,88.0,81,43.0,41.0,66.0,60.0,59.0,neutral,60,3600,59.0,59.0,59.0,True,True,True
421,Suburb,Someone else,False,Probably will not vote,Debt and unsustainable social programs,Moderately worried,Conservative,Republican,Oppose a great deal,Oppose strongly,Oppose a great deal,Oppose a great deal,White,1977,Female,4-year degree,.620918666291842,2.0,53.0,60.0,16.0,19.0,64.0,16.0,97.0,95.0,95.0,94.0,98.0,72.0,81,94.0,57.0,81.0,43.0,81,80.0,90.0,79.0,92.0,79.0,98,86,91,99.0,94.0,91,88.0,84.0,78.0,95.0,58.0,neutral,43,1849,60.0,60.0,60.0,True,True,False
422,City,Donald Trump,False,Donald Trump,Na,A little worried,Conservative,Republican,Neither favor nor oppose,Oppose strongly,Neither favor nor oppose,Favor a little,White,1964,Male,4-year degree,1.0913292850587,66.0,37.0,38.0,35.0,41.0,49.0,50.0,50.0,50.0,48.0,54.0,34.0,28.0,51,53.0,48.0,47.0,50.0,47,34.0,50.0,45.0,50.0,31.0,66,50,60,49.0,49.0,63,50.0,50.0,47.0,66.0,-28.0,dislike,56,3136,38.0,38.0,38.0,False,False,False
423,City,Hillary Clinton,True,Joe Biden,"We have a criminal and unfit president and the republicans stand by him, they put party over country and rather would divide than do what is right.",Very worried,Liberal,Democrat,Oppose a little,Oppose strongly,Favor a moderate amount,Favor a moderate amount,White,1959,Male,4-year degree,1.18015681611182,1.0,100.0,73.0,75.0,52.0,86.0,74.0,80.0,35.0,80.0,31.0,59.0,52.0,75,95.0,77.0,9.0,3.0,21,5.0,66.0,6.0,88.0,33.0,50,95,82,8.0,63.0,90,7.0,1.0,61.0,76.0,72.0,like,61,3721,73.0,73.0,73.0,True,False,False
424,City,Did not vote,False,Joe Biden,Everything,Not at all worried,Liberal,Independent,Neither favor nor oppose,Favor strongly,Neither favor nor oppose,Oppose a little,Hispanic,1984,Male,No HS diploma,1.27398280623822,1.0,99.0,99.0,1.0,96.0,6.0,3.0,4.0,2.0,99.0,12.0,3.0,97.0,40,60.0,46.0,4.0,1.0,1,1.0,83.0,1.0,8.0,1.0,89,1,8,8.0,56.0,69,8.0,4.0,13.0,74.0,98.0,like,36,1296,99.0,99.0,99.0,True,False,False
425,City,Hillary Clinton,False,Joe Biden,RACISM!,Not at all worried,Liberal,Democrat,Neither favor nor oppose,Oppose strongly,Oppose a great deal,Oppose a little,Black,1946,Male,Some college,1.17230980532102,1.0,100.0,100.0,80.0,95.0,50.0,95.0,95.0,90.0,95.0,95.0,90.0,91.0,85,50.0,50.0,21.0,50.0,20,1.0,80.0,50.0,50.0,11.0,100,90,100,50.0,96.0,90,50.0,2.0,50.0,91.0,99.0,like,74,5476,100.0,100.0,100.0,True,False,False
426,Suburb,Donald Trump,False,Donald Trump,The division in government,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1964,Male,Some college,.957058508180357,95.0,6.000000000000007,12.0,5.0,13.0,19.0,11.0,59.0,62.0,60.0,63.0,7.0,3.0,41,47.0,53.0,62.0,52.0,31,30.0,35.0,42.0,44.0,40.0,65,51,61,81.0,51.0,59,50.0,40.0,44.0,46.0,-83.0,dislike,56,3136,12.0,12.0,12.0,False,False,False
427,Suburb,Someone else,False,Joe Biden,donald chump,Moderately worried,Moderate,Democrat,Favor a moderate amount,Oppose strongly,Oppose a little,Oppose a moderate amount,White,1961,Male,Some college,.604026822316955,0.0,80.0,10.0,10.0,50.0,90.0,20.0,50.0,50.0,50.0,50.0,50.0,50.0,80,50.0,50.0,50.0,0.0,50,50.0,20.0,50.0,50.0,50.0,50,100,50,50.0,50.0,90,50.0,50.0,50.0,50.0,10.0,dislike,59,3481,10.0,10.0,10.0,True,True,False
428,Town,Hillary Clinton,False,Joe Biden,Race and donnie,A little worried,Moderate,Democrat,Oppose a little,Oppose strongly,Oppose a little,Oppose a little,White,1952,Female,Some college,.558394742961811,0.0,100.0,86.0,55.0,47.0,88.0,69.0,87.0,86.0,87.0,88.0,88.0,87.0,94,100.0,89.0,2.0,3.0,3,1.0,100.0,9.0,51.0,3.0,100,98,99,17.0,92.0,100,2.0,3.0,51.0,89.0,86.0,like,68,4624,86.0,86.0,86.0,True,False,False
429,Town,Donald Trump,False,Donald Trump,The continued existence of the demomarxist party,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1957,Male,Some college,.820011188995185,100.0,1.0,0.0,0.0,0.0,0.0,0.0,78.0,77.0,81.0,76.0,0.0,0.0,0,69.0,0.0,99.0,100.0,11,0.0,69.0,41.0,50.0,0.0,98,58,87,76.0,64.0,77,50.0,0.0,0.0,78.0,-100.0,dislike,63,3969,0.0,0.0,0.0,False,False,False
430,Rural,Hillary Clinton,False,Joe Biden,Hatred,Moderately worried,Moderate,Democrat,Neither favor nor oppose,Oppose strongly,Oppose a little,Oppose a little,White,1959,Female,4-year degree,1.0029772835284,11.0,81.0,66.0,60.0,64.0,80.0,50.0,70.0,78.0,70.0,71.0,74.0,58.0,67,68.0,68.0,62.0,70.0,59,33.0,48.0,41.0,69.0,41.0,85,67,86,70.0,81.0,84,41.0,57.0,58.0,71.0,55.0,neutral,61,3721,66.0,66.0,66.0,True,True,False
431,City,Hillary Clinton,False,Probably will not vote,Economic inequality,Not at all worried,Liberal,Independent,Favor a great deal,Oppose strongly,Favor a great deal,Favor a little,White,1976,Female,2-year degree,.959836119974666,,95.0,13.0,78.0,79.0,31.0,23.0,100.0,71.0,100.0,100.0,100.0,100.0,84,53.0,53.0,51.0,0.0,53,52.0,52.0,51.0,53.0,51.0,52,51,51,52.0,52.0,51,53.0,51.0,53.0,100.0,,dislike,44,1936,13.0,13.0,13.0,False,False,True
432,Suburb,Donald Trump,False,Donald Trump,Democratic fraud,A little worried,Conservative,Republican,Oppose a great deal,Favor strongly,Oppose a great deal,Oppose a great deal,White,1962,Male,2-year degree,.820011188995185,100.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,100.0,9.0,60.0,0.0,0.0,0,0.0,0.0,100.0,100.0,0,3.0,0.0,0.0,39.0,0.0,87,2,82,95.0,4.0,19,1.0,0.0,9.0,87.0,-100.0,dislike,58,3364,0.0,0.0,0.0,False,False,False
433,Suburb,Did not vote,False,Joe Biden,healthcare,Moderately worried,Moderate,Democrat,Favor a great deal,Oppose strongly,Favor a moderate amount,Favor a moderate amount,White,1957,Male,2-year degree,.77237665861473,0.0,92.0,85.0,80.0,80.0,70.0,49.0,70.0,59.0,61.0,69.0,61.0,71.0,81,79.0,89.0,31.0,0.0,51,31.0,61.0,20.0,79.0,20.0,89,80,79,61.0,83.0,72,71.0,70.0,70.0,71.0,85.0,like,63,3969,85.0,85.0,85.0,True,True,True
434,Suburb,Someone else,False,Joe Biden,Economic inequality between the 1% and everyone else.,Very worried,Liberal,Democrat,Favor a great deal,Oppose strongly,Favor a great deal,Favor a moderate amount,White,1972,Male,4-year degree,.648758270913853,0.0,85.0,30.0,95.0,90.0,40.0,60.0,60.0,70.0,60.0,70.0,60.0,50.0,35,80.0,80.0,10.0,2.0,30,40.0,60.0,40.0,10.0,45.0,85,70,75,60.0,70.0,80,55.0,1.0,45.0,60.0,30.0,dislike,48,2304,30.0,30.0,30.0,True,False,True
435,City,Hillary Clinton,False,Joe Biden,Ignorance,Moderately worried,Liberal,Democrat,Favor a little,Oppose strongly,Neither favor nor oppose,Neither favor nor oppose,White,1960,Female,Post-graduate,.703517154682484,7.0,99.0,87.0,83.0,65.0,63.0,63.0,88.0,91.0,96.0,92.0,89.0,87.0,89,69.0,66.0,45.0,36.0,52,44.0,88.0,56.0,79.0,48.0,86,77,82,77.0,100.0,88,84.0,76.0,63.0,82.0,80.0,like,60,3600,87.0,87.0,87.0,True,True,False
436,Suburb,Hillary Clinton,False,Joe Biden,The collapse of democracy and institutions,A little worried,Liberal,Democrat,Neither favor nor oppose,Oppose strongly,Oppose a moderate amount,Oppose a moderate amount,White,1982,Female,Post-graduate,1.03099176857853,1.0,99.0,57.0,86.0,34.0,83.0,88.0,75.0,59.0,86.0,72.0,53.0,59.0,83,88.0,81.0,3.0,3.0,3,3.0,63.0,2.0,21.0,41.0,73,88,81,60.0,76.0,93,38.0,6.0,71.0,91.0,56.0,neutral,38,1444,57.0,57.0,57.0,True,False,False
437,Rural,Donald Trump,False,Donald Trump,Democrats,Not at all worried,Conservative,Independent,Neither favor nor oppose,Favor strongly,Oppose a great deal,Oppose a great deal,White,1965,Male,Some college,1.01608286122794,100.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,99.0,3.0,98.0,4.0,1.0,0,2.0,0.0,98.0,98.0,1,0.0,0.0,6.0,54.0,2.0,85,68,87,98.0,19.0,49,51.0,1.0,0.0,98.0,-100.0,dislike,55,3025,0.0,0.0,0.0,False,False,False
438,Suburb,Donald Trump,False,Donald Trump,health care costs,Moderately worried,Conservative,Republican,Oppose a great deal,Oppose somewhat,Oppose a great deal,Oppose a great deal,White,1950,Female,4-year degree,1.00415246677689,85.0,33.0,49.0,5.0,5.0,7.0,4.0,89.0,91.0,91.0,89.0,50.0,39.0,49,52.0,52.0,72.0,69.0,47,6.0,92.0,53.0,71.0,38.0,78,90,83,88.0,61.0,94,52.0,52.0,41.0,84.0,-36.0,neutral,70,4900,49.0,49.0,49.0,False,True,False
439,Suburb,Donald Trump,False,Donald Trump,Abortion,A little worried,Conservative,Republican,Oppose a great deal,Favor strongly,Oppose a great deal,Oppose a great deal,White,1980,Female,2-year degree,.853815039857901,91.0,4.0,0.0,1.0,0.0,1.0,3.0,50.0,69.0,34.0,37.0,14.0,1.0,5,0.0,1.0,69.0,67.0,41,7.0,5.0,1.0,1.0,0.0,41,23,27,34.0,30.0,0,18.0,8.0,0.0,0.0,-91.0,dislike,40,1600,0.0,0.0,0.0,False,False,False
440,Suburb,Donald Trump,False,Donald Trump,Socislism,Not at all worried,Conservative,Republican,Oppose a great deal,Favor strongly,Oppose a great deal,Oppose a great deal,White,1958,Female,4-year degree,.947214736055136,100.0,7.999999999999993,1.0,5.0,2.0,3.0,2.0,88.0,91.0,84.0,86.0,5.0,20.0,1,42.0,6.0,100.0,98.0,2,0.0,8.0,1.0,1.0,1.0,72,52,39,50.0,30.0,13,84.0,1.0,17.0,100.0,-99.0,dislike,62,3844,1.0,1.0,1.0,False,False,False
441,Suburb,Hillary Clinton,False,Joe Biden,Climate change,Moderately worried,Liberal,Democrat,Favor a little,Oppose strongly,Oppose a moderate amount,Oppose a moderate amount,White,1960,Male,4-year degree,1.18015681611182,0.0,85.0,85.0,60.0,30.0,85.0,30.0,50.0,50.0,50.0,51.0,50.0,50.0,70,85.0,60.0,30.0,5.0,60,0.0,60.0,10.0,75.0,10.0,75,75,70,70.0,85.0,85,10.0,5.0,30.0,50.0,85.0,like,60,3600,85.0,85.0,85.0,True,True,False
442,Suburb,Donald Trump,False,Donald Trump,Destruction from within by division led by the angry Democrats in the House of Representatives.,Not at all worried,Conservative,Independent,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,Other,1955,Female,2-year degree,.756202065164629,90.0,20.0,12.0,1.0,3.0,4.0,3.0,69.0,72.0,69.0,72.0,29.0,1.0,19,22.0,23.0,99.0,52.0,50,7.0,50.0,42.0,46.0,8.0,69,53,70,73.0,50.0,70,22.0,49.0,6.0,66.0,-78.0,dislike,65,4225,12.0,12.0,12.0,False,False,False
443,Rural,Donald Trump,False,Donald Trump,liberals,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Favor a little,Neither favor nor oppose,White,1972,Male,Post-graduate,1.1219268996798,84.0,9.0,9.0,5.0,6.0,5.0,6.0,7.0,93.0,6.0,71.0,3.0,2.0,3,11.0,4.0,93.0,87.0,10,4.0,6.0,4.0,75.0,3.0,47,61,62,12.0,39.0,95,7.0,70.0,4.0,11.0,-75.0,dislike,48,2304,9.0,9.0,9.0,False,False,False
444,Town,Someone else,False,Joe Biden,Gender politics,Not at all worried,Moderate,Independent,Oppose a great deal,Neither favor nor disagree,Oppose a moderate amount,Oppose a little,White,1960,Male,Some college,.487468858744971,54.0,59.0,50.0,0.0,53.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,45.0,3,55.0,21.0,60.0,10.0,0,0.0,56.0,2.0,48.0,0.0,100,56,80,99.0,51.0,100,20.0,11.0,0.0,50.0,-4.0,neutral,60,3600,50.0,50.0,50.0,False,False,False
445,City,Hillary Clinton,False,Joe Biden,Donald Trump,Moderately worried,Moderate,Democrat,Neither favor nor oppose,Oppose strongly,Favor a little,Oppose a little,White,1967,Female,Some college,1.03170391458116,0.0,85.0,84.0,81.0,75.0,79.0,70.0,70.0,70.0,70.0,70.0,51.0,50.0,70,60.0,60.0,41.0,0.0,17,6.0,50.0,5.0,50.0,21.0,70,70,60,50.0,50.0,55,10.0,10.0,50.0,55.0,84.0,like,53,2809,84.0,84.0,84.0,True,True,False
446,Suburb,Hillary Clinton,False,Joe Biden,Donald Trump,A little worried,Moderate,Democrat,Neither favor nor oppose,Oppose strongly,Favor a great deal,Neither favor nor oppose,Black,1955,Male,2-year degree,.859509735667115,1.0,100.0,100.0,99.0,90.0,75.0,99.0,95.0,75.0,70.0,85.0,85.0,50.0,71,80.0,80.0,16.0,51.0,95,1.0,60.0,85.0,51.0,85.0,85,71,95,75.0,71.0,80,2.0,2.0,90.0,50.0,99.0,like,65,4225,100.0,100.0,100.0,True,False,False
447,Suburb,Donald Trump,False,Donald Trump,news agencies are lying to people to help democrats,Not at all worried,Conservative,,Oppose a great deal,Neither favor nor disagree,Oppose a moderate amount,Oppose a great deal,Hispanic,1962,Male,4-year degree,.52549218566033,80.0,10.0,3.0,0.0,3.0,1.0,1.0,55.0,55.0,77.0,65.0,46.0,19.0,0,49.0,12.0,76.0,51.0,10,9.0,27.0,13.0,23.0,0.0,60,49,65,82.0,41.0,55,36.0,0.0,1.0,70.0,-77.0,dislike,58,3364,3.0,3.0,3.0,False,False,False
448,City,Donald Trump,False,Donald Trump,Homelessness,A little worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1958,Female,4-year degree,.947214736055136,98.0,11.0,6.0,0.0,4.0,2.0,3.0,100.0,100.0,95.0,99.0,92.0,7.0,27,100.0,95.0,96.0,69.0,76,49.0,51.0,65.0,49.0,34.0,100,99,96,99.0,95.0,99,90.0,8.0,81.0,93.0,-92.0,dislike,62,3844,6.0,6.0,6.0,False,False,False
449,City,Donald Trump,False,Donald Trump,partison politics,Not at all worried,Conservative,Republican,Oppose a great deal,Favor strongly,Oppose a great deal,Oppose a great deal,White,1957,Male,4-year degree,1.11454361473121,95.0,2.0,0.0,0.0,0.0,3.0,1.0,51.0,84.0,54.0,51.0,40.0,31.0,51,55.0,51.0,70.0,74.0,50,31.0,70.0,31.0,50.0,31.0,61,61,71,70.0,70.0,60,51.0,50.0,12.0,31.0,-95.0,dislike,63,3969,0.0,0.0,0.0,False,False,False
450,Town,Someone else,False,Someone else,Party/cultural polarization,A little worried,Moderate,Independent,Oppose a great deal,Neither favor nor disagree,Oppose a moderate amount,Oppose a moderate amount,White,1990,Female,4-year degree,.772402543971215,50.0,55.0,41.0,41.0,56.0,52.0,21.0,51.0,50.0,50.0,50.0,51.0,40.0,41,53.0,60.0,70.0,56.0,43,30.0,46.0,12.0,50.0,40.0,83,51,51,30.0,51.0,55,38.0,50.0,71.0,60.0,-9.0,neutral,30,900,41.0,41.0,41.0,False,False,False
451,City,Did not vote,False,Probably will not vote,Health care,Moderately worried,Moderate,Independent,Neither favor nor oppose,Oppose strongly,Favor a little,Favor a moderate amount,White,1961,Male,4-year degree,1.04979966685739,1.0,71.0,56.0,44.0,53.0,44.0,39.0,63.0,62.0,54.0,57.0,51.0,41.0,53,61.0,63.0,32.0,3.0,39,22.0,41.0,47.0,51.0,29.0,63,54,52,51.0,53.0,53,50.0,37.0,45.0,54.0,55.0,neutral,59,3481,56.0,56.0,56.0,True,True,False
452,City,Donald Trump,False,Someone else,The degrading environment....too many people on the planet exhausting available resources.,A little worried,Conservative,Republican,Oppose a great deal,Oppose strongly,Oppose a great deal,Oppose a great deal,White,1959,Female,4-year degree,.947214736055136,62.0,41.0,40.0,16.0,9.0,49.0,15.0,51.0,50.0,23.0,34.0,39.0,5.0,62,65.0,59.0,62.0,7.0,40,31.0,41.0,39.0,52.0,22.0,94,77,50,50.0,57.0,94,50.0,57.0,50.0,50.0,-22.0,dislike,61,3721,40.0,40.0,40.0,False,False,False
453,Suburb,Donald Trump,False,Donald Trump,Health care,Moderately worried,Conservative,Republican,Favor a little,Neither favor nor disagree,Favor a little,Favor a little,Hispanic,1966,Male,Some college,.683915521636418,91.0,7.0,6.0,4.0,6.0,19.0,8.0,69.0,76.0,65.0,66.0,37.0,27.0,29,14.0,6.0,67.0,85.0,22,7.0,45.0,7.0,24.0,6.0,66,39,37,91.0,34.0,59,31.0,27.0,6.0,75.0,-85.0,dislike,54,2916,6.0,6.0,6.0,False,True,True
454,Town,Donald Trump,False,Donald Trump,the far left pushing their liberal agenda,A little worried,Conservative,Republican,Oppose a great deal,Oppose strongly,Oppose a great deal,Oppose a great deal,White,1961,Male,4-year degree,1.11454361473121,91.0,0.0,4.0,0.0,2.0,4.0,5.0,100.0,100.0,100.0,100.0,21.0,12.0,4,10.0,15.0,81.0,90.0,30,0.0,10.0,19.0,10.0,3.0,69,51,74,66.0,30.0,81,19.0,21.0,28.0,100.0,-87.0,dislike,59,3481,4.0,4.0,4.0,False,False,False
455,Suburb,Did not vote,False,Joe Biden,Poverty and health insurance,Very worried,Liberal,Democrat,Favor a moderate amount,Oppose strongly,Favor a great deal,Favor a great deal,Black,1995,Female,4-year degree,2.59761793318671,7.0,99.0,94.0,81.0,99.0,4.0,23.0,30.0,73.0,29.0,46.0,13.0,9.0,57,47.0,82.0,21.0,13.0,12,2.0,24.0,16.0,7.0,8.0,29,5,8,6.0,12.0,94,9.0,4.0,15.0,6.0,87.0,like,25,625,94.0,94.0,94.0,True,False,True
456,City,Did not vote,False,Donald Trump,Gun violence,Not at all worried,Moderate,Republican,Oppose a little,Favor somewhat,Oppose a little,Oppose a little,White,1979,Female,2-year degree,.772007610334614,93.0,28.0,28.0,43.0,47.0,50.0,48.0,50.0,97.0,66.0,54.0,42.0,19.0,59,51.0,53.0,54.0,16.0,40,40.0,17.0,50.0,50.0,44.0,73,50,48,52.0,86.0,86,47.0,43.0,49.0,49.0,-65.0,dislike,41,1681,28.0,28.0,28.0,False,False,False
457,Town,Hillary Clinton,True,Joe Biden,The Republican Party’s efforts to destroy democracy and the rule of law.,Very worried,Moderate,Democrat,Favor a moderate amount,Oppose strongly,Favor a great deal,Favor a great deal,White,1962,Female,4-year degree,1.0029772835284,0.0,74.0,60.0,91.0,53.0,62.0,73.0,74.0,74.0,74.0,74.0,74.0,64.0,98,94.0,91.0,0.0,0.0,8,0.0,71.0,1.0,85.0,32.0,85,81,85,2.0,59.0,94,27.0,0.0,50.0,98.0,60.0,neutral,58,3364,60.0,60.0,60.0,True,False,True
458,City,Donald Trump,False,Donald Trump,Killing preborn children.,A little worried,Conservative,Republican,Oppose a great deal,Favor strongly,Oppose a great deal,Oppose a great deal,White,1957,Female,2-year degree,1.00210010152631,100.0,1.0,1.0,1.0,1.0,,1.0,50.0,50.0,50.0,50.0,50.0,45.0,1,50.0,50.0,100.0,100.0,90,10.0,40.0,40.0,60.0,50.0,50,85,50,100.0,50.0,50,60.0,50.0,40.0,50.0,-99.0,dislike,63,3969,1.0,1.0,1.0,False,False,False
459,Rural,Donald Trump,False,Donald Trump,"getting communism out of our schools, passing a immigration policies ,build the wall, vote every communist democrat out, pass balance buget bill",Not at all worried,Conservative,Independent,Oppose a great deal,Favor strongly,Oppose a great deal,Oppose a great deal,White,1955,Male,Some college, ,100.0,1.0,0.0,1.0,0.0,0.0,0.0,83.0,87.0,0.0,9.0,0.0,0.0,0,6.0,1.0,99.0,98.0,0,10.0,0.0,9.0,69.0,1.0,86,29,89,99.0,10.0,9,0.0,48.0,0.0,0.0,-100.0,dislike,65,4225,0.0,0.0,0.0,False,False,False
460,City,Hillary Clinton,False,Joe Biden,There are many,A little worried,Moderate,Democrat,Neither favor nor oppose,Oppose strongly,Neither favor nor oppose,Neither favor nor oppose,White,1948,Female,Post-graduate,1.02996454702489,1.0,93.0,90.0,83.0,84.0,91.0,78.0,86.0,85.0,91.0,88.0,88.0,84.0,75,76.0,80.0,82.0,1.0,70,64.0,70.0,64.0,60.0,38.0,81,89,75,76.0,80.0,83,68.0,51.0,75.0,91.0,89.0,like,72,5184,90.0,90.0,90.0,True,False,False
461,Rural,Hillary Clinton,True,Joe Biden,Money in politics. Both parties are owned by corporate interests.,Very worried,Liberal,Democrat,Oppose a moderate amount,Oppose strongly,Favor a great deal,Favor a great deal,White,1960,Female,4-year degree,1.0029772835284,4.0,81.0,58.0,65.0,100.0,53.0,53.0,63.0,44.0,70.0,54.0,57.0,58.0,97,72.0,72.0,5.0,1.0,25,3.0,90.0,5.0,44.0,43.0,91,86,89,30.0,80.0,93,50.0,6.0,81.0,91.0,54.0,neutral,60,3600,58.0,58.0,58.0,True,False,False
462,Town,Hillary Clinton,False,Joe Biden,"The division made by Donald Trump as it concerns his cronies, that being rich white Republicans and the rest of the populous, especially Blacks, Muslims, Immigrants, Mexicans, Gays and women. He has spawned a culture of hate and discrimination and has done nothing but spread lies throughout his presidency, which may or may not have been influenced by the Russians in order to weaken the USA. They achieved their goal and will try again in 2020.",Moderately worried,Liberal,Democrat,Oppose a moderate amount,Oppose strongly,Favor a little,Favor a moderate amount,White,1955,Female,Some college,1.03170391458116,0.0,91.0,100.0,70.0,80.0,91.0,51.0,89.0,80.0,91.0,90.0,88.0,71.0,96,100.0,90.0,4.0,5.0,37,4.0,79.0,28.0,84.0,33.0,100,85,90,80.0,85.0,98,40.0,5.0,79.0,90.0,100.0,like,65,4225,100.0,100.0,100.0,True,True,False
